Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x2e6815a4dfdded32687c58689edc764bd84eddfb7057d60f674a491ed3e2d49b","Success","Bridge","15534993","2022-09-14 20:52:58","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00174449"
"0x8b0e7bd60c52bf030d5957dfae65b9f9f246bf7835c052cd82ef0fde85f3a9de","Success","Approve","15534932","2022-09-14 20:35:09","0x46b0c597c146a54d3a95a61fa42bd33612692d93","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00148889"
"0x9bf6444564a800e17687f6894861f5eadb339e59d0119ca802f2c9f28b8bd29b","Success","Approve","15534925","2022-09-14 20:33:57","0x3d3c23e6af8c3961e4ff5c13d24fc1dfc5b20a6a","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00114105"
"0xcc7dc2680cedb5e09d53ff0152699152b56264e351e63964dee264752a235e25","Success","Bridge","15534861","2022-09-14 20:17:28","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00061836"
"0x352aa8cb29cdcae25b5878e4d1d290f851949bd5a780b16fd520260ccd161a17","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00063436"
"0xf4137ebbf4309589db3b95f5b43753e84719dead3fac0419b5046d66863643ec","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00063436"
"0x60c1b3555c8c519dc74196c4554bd656b6a09fc85f323490ac0dc9c3dca972df","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00063436"
"0x5426b9dce02b664314662a8c86b8bc4d67f7df9ef5c04a8806d668759fec50b3","Success","Bridge","15534859","2022-09-14 20:16:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00063436"
"0xf85257e497e3c80111ea98a81dea943fffef7693230d369ee933289de2d192a5","Success","Bridge","15534859","2022-09-14 20:16:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00063436"
"0x3d8fcd5e48e79effe8ef185b14a3ac6c0a0d796e283e6cce43785a39465d9ea1","Success","Approve","15534834","2022-09-14 20:11:24","0xc9f24286dd453764d6594b291b2bf1f572eb702e","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00054212"
"0x1a37d971dcd204e3a6e6d03ac2d6fae77038358cc9f9ae4acd219dde7d594c98","Success","Approve","15534813","2022-09-14 20:07:23","0x824bc51e0f120a71c991fc9d5481715ffda010c0","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00102882"
"0x1acf8ad489d1623b4bc348a207a9cea37a6eb135178193f80b11020338889c62","Success","Approve","15534765","2022-09-14 19:55:08","0xf708b242051d1223aee854879d28cc9709e7123f","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.0008375"
"0x4a2d832853055be107a233a9dcb91ec8898a0dfac6d2f6ed17cb8416cd75a1bb","Success","Approve","15534764","2022-09-14 19:53:47","0x90793926beb1f91f36829c19b4d0d0d83b228f07","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.0008375"
"0x2149c5e4b20911d82f677e0cecd216b3a71471f6363c050ebee484cde4427d79","Success","Transfer","15534754","2022-09-14 19:50:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00107538"
"0x458df919e1a5cd81ac508b09208859fec0f74d916d3870d1fd7bee87de0897c2","Success","Transfer","15534748","2022-09-14 19:50:00","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00140022"
"0x7ca2f754a33f324a90dfdc929aa961b0efade67c67313ed4b6f9ebf1d910c23f","Success","Transfer","15534743","2022-09-14 19:48:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.00123789"
"0x2cc6291c840479e3301d6a33554c9c94be2ec67e038b699d852f648042f2edd6","Success","Approve","15534730","2022-09-14 19:47:29","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","Fake_Phishing296857","0 ETH","$0.00","0.001675"
"0x158afdcd7b4caecebe8c233c94011e9f6a8b24d576bdb7970fb112197c0123ca","Success","0x60806040","15534725","2022-09-14 19:45:00","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","Create: Ethereum2","","0 ETH","$0.00","0.03959212"
