Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x1e7cdb8de3aea5512fcfc6a28e8a56a139ac6948e9237f384211602f25abf828","Success","Transfer","15535049","2022-09-14 21:06:00","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x2d529C744eB9FE40Dd657870e2de3110Dd364345","","144.59722111 ETH","$387,980.24","0.00084"
"0x00892ebfe62675a7e62ee99e56c64d5ff6f79ee833e7d3a09e2f817996075e04","Success","Remove Liquidity ETH With Permit","15535045","2022-09-14 21:04:35","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","@ETbitch","0 ETH","$0.00","0.00676265"
"0x2e6815a4dfdded32687c58689edc764bd84eddfb7057d60f674a491ed3e2d49b","Success","Bridge","15534993","2022-09-14 20:52:58","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00174449"
"0xcc7dc2680cedb5e09d53ff0152699152b56264e351e63964dee264752a235e25","Success","Bridge","15534861","2022-09-14 20:17:28","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00061836"
"0x352aa8cb29cdcae25b5878e4d1d290f851949bd5a780b16fd520260ccd161a17","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00063436"
"0xf4137ebbf4309589db3b95f5b43753e84719dead3fac0419b5046d66863643ec","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00063436"
"0x60c1b3555c8c519dc74196c4554bd656b6a09fc85f323490ac0dc9c3dca972df","Success","Bridge","15534860","2022-09-14 20:17:23","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00063436"
"0x5426b9dce02b664314662a8c86b8bc4d67f7df9ef5c04a8806d668759fec50b3","Success","Bridge","15534859","2022-09-14 20:16:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00063436"
"0xf85257e497e3c80111ea98a81dea943fffef7693230d369ee933289de2d192a5","Success","Bridge","15534859","2022-09-14 20:16:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00063436"
"0x2149c5e4b20911d82f677e0cecd216b3a71471f6363c050ebee484cde4427d79","Success","Transfer","15534754","2022-09-14 19:50:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00107538"
"0x458df919e1a5cd81ac508b09208859fec0f74d916d3870d1fd7bee87de0897c2","Success","Transfer","15534748","2022-09-14 19:50:00","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00140022"
"0x7ca2f754a33f324a90dfdc929aa961b0efade67c67313ed4b6f9ebf1d910c23f","Success","Transfer","15534743","2022-09-14 19:48:49","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.00123789"
"0xf93008361dea1788e316f63e3275d4b3c2228b58a719b46487fb7f68dc0ceb5d","Success","Add Liquidity ETH","15534737","2022-09-14 19:48:19","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","@ETbitch","100 ETH","$268,317.91","0.06425587"
"0x2cc6291c840479e3301d6a33554c9c94be2ec67e038b699d852f648042f2edd6","Success","Approve","15534730","2022-09-14 19:47:29","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","0x0Dd7CF1D102118fcB498FC5B9a5f23c043407748","@ETbitch","0 ETH","$0.00","0.001675"
"0x158afdcd7b4caecebe8c233c94011e9f6a8b24d576bdb7970fb112197c0123ca","Success","0x60806040","15534725","2022-09-14 19:45:00","0x6e2ffddafee3fe4fd5e1bdd46f11ad543e8751db","","Create: Ethereum2","","0 ETH","$0.00","0.03959212"
