Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x57a4d04be6e948b1d68db4aa8bfc39109cf54d1fe0876ac9f6ca54a705f431f8","(Pending)","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens","(Pending)","2024-09-29 01:57:42","0xa24f6f31665dd3f79aeea7a87b21db3f71c47517","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0xa48645812a91166df5a981d3b834e593a67cb408665d7969cbac4082615374c7","(Pending)","Swap Exact Tokens For Tokens","(Pending)","2024-09-29 01:57:42","0x3229378620b8318f3012fb32d63363e5d5b22947","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0x414bf91e35de7af9d5fc1accdeb315c50ab9ac7f4d9c4a7efac066727fcfd3ac","(Pending)","Swap Exact Tokens For Tokens","(Pending)","2024-09-29 01:57:31","0x3229378620b8318f3012fb32d63363e5d5b22947","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0xd3d0b475330cebac716131c535910a2ab93657b982c2bac8d7ebc052475f1b3c","(Pending)","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens","(Pending)","2024-09-29 01:57:27","0x248475c0e9810a4f558bce4c718ae50a989dd55e","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0x4c026389011ca0f9e0c03efadd28703199be2ca02a3fdaa574bd83d3d354732b","(Pending)","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens","(Pending)","2024-09-29 01:56:44","0x459bbf3c1e0f3829bf91ef4f6d0d865d60ab6b87","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0x3f2f9690679a24869e17d17664c4805ea5bceea5c23b2b0fc5e537f644f0f46c","(Pending)","Swap Exact ETH For Tokens","(Pending)","2024-09-29 01:51:40","0xfc3bea57bd3f3ccb6c14417226cf3a6d01bf4a2f","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0.001262807 ETH","$3.38","(Pending)"
"0xd59d561269c430c141a3042a953ddede874fd49717a29571b4a687e682e8e58f","(Pending)","Swap Exact ETH For Tokens","(Pending)","2024-09-29 01:48:03","0xc3e1f078e09cc7ee54ee155563ba69b127753fe6","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0.003 ETH","$8.03","(Pending)"
"0xe25b6715e7d2db4e31ff4eb74bd30edfa1f25495719d7a77578d614a5c4a8146","(Pending)","Swap Exact ETH For Tokens","(Pending)","2024-09-29 01:45:19","0xfec1fb051b99eb6730d7b1abc726f69a81eacb76","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0.0002 ETH","$0.54","(Pending)"
"0xc630fabf501b07de79d59f3ade71e98a1c361b994ecb54252f5cde59a5792ef4","(Pending)","Swap Exact Tokens For ETH","(Pending)","2024-09-29 01:45:16","0xa5bad9839bec0ed0c89d24defbd9aebc3a8530f6","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0x9bdc5d37c6168706c4506a9a9c9a42fd585e08229c1670e0c90461a99454c4fb","(Pending)","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens","(Pending)","2024-09-29 01:42:47","0x7b9d4d8772b8705ddc7456daf821c3022dda0504","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0 ETH","$0.00","(Pending)"
"0xd07e09b69e68ab6079634858b23542dfceba80df12bdb45fc546b779b16eb391","(Pending)","Swap ETH For Exact Tokens","(Pending)","2024-09-29 01:41:40","0x84fb681891fe098e2e23b2f441640040e341cce1","","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","0.0033630252 ETH","$9.00","(Pending)"
