Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x5d7037e081fbc17def7c9d5c0d29a0b28388ed3d996716b26dfb84ae868137d0","Success","Withdraw","51123552","2024-09-29 00:21:42","0x4d69d8ca698A98bb4B5c44Ed36735C77C58e283D","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00088147"
"0x1c5013a32a498cc4900dd9700e3af55f2e2392ed82bd054bb637c6f95798101b","Success","Approve","51123548","2024-09-29 00:21:34","0x45897C0B16FcECEe35e259d916d6369DDA584f29","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00115367"
"0xc30cc5f4bc58de724da3ebb2821fb9da32d3554a42b340dfac6b195dbce08b6e","Success","Approve","51123365","2024-09-29 00:15:14","0x189Ba1d201d857e38e7aaDC290b0BF6d9085607E","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00076688"
"0x9b8322d6185bb83ad73ce3aa33c8befb2c8dd55d3ffaf9ed369ae3a733c7d20c","Success","Withdraw","51123228","2024-09-29 00:10:25","0x9311AaBa5C45cb864bEAB2105fF317b55268e1Cc","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00090032"
"0x4851f1e2e2613f09ad88767a584b47445201f025e479b9ef0007423544912c83","Success","Approve","51123124","2024-09-29 00:06:40","0x8F235a1fd3503b3E8f65c103bAa1Af907396726a","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00115367"
"0xbf894dd042c89716727154edd27aeb2ec8b37b54059f21254e6a53cdcf8a85b1","Success","Approve","51123043","2024-09-29 00:03:37","0xaF12D4b9cb9914bE02535F474f1D2DA9c87AC87a","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00124629"
"0x3972c7e8c8a8a25d94c2d962771c55758b308ffeeae3e20c555bbbd31172a231","Success","Transfer","51122931","2024-09-28 23:59:31","0xD50f649a2c9fD7AE88C223DA80e985D71DE45593","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00141494"
"0x1e54d4b8b6f6cb986a8132c78f64c08dea8b3a54ab5fc5f235eff94962fe8db1","Success","Withdraw","51122916","2024-09-28 23:58:58","0xf5f783DCFB9bb0F6168b18Ea7E380106511bE83F","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00088147"
"0x343b4fbe79cb6067df272dd2dd8d8a4f07214d24667cc51a1700041809b3d04c","Success","Withdraw","51122801","2024-09-28 23:54:34","0x0238b9bB23af9221488aC4d8c0bDa0E08E9d130d","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.0008859"
"0x67b63c5939ff364dffae7485fdd733dfd70c6d2cd005a45f466f40470c8498b8","Success","Withdraw","51122629","2024-09-28 23:48:38","0xF04937168e147136EcfC196bB72aD463A1E585cc","","0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7","Wrapped AVAX","0 AVAX","$0.00","0.00098133"
