Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x937502a8ad7a1d040ba4c8d52b675f022f781cfaaee09cc7cda1011e88f6768a","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0x1a1f9d28614727cf204ada76c9891e8e8e1aa482","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0xa3a26e58052fb3aa4af213a8b8c127a733947784d14e6da712a29f0dae6e01fd","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0xe0ae819be3983330e25d70e5462516f2ed65e81d","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0x64b3279b62e8173b906844f037a3e52168575d57a2ab029cd7d881d28d5ceb21","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0x974caa59e49682cda0ad2bbe82983419a2ecc400","Stake.com","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0x9bacf213680915b2cf888edcd4e0e2ba02b52a009e44a4cfe77c83dda5167e21","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0xcde5d48fca07f9c52300d2e65632dd71ed169b90","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0xd95e190bc52fd2f7039239365192ec7569a16bada7b587b689dbf5a2f23c49a2","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0x4b7bf5dce747ebec097389db94666d7d086db46872ab2b1cd2c460f96b3c5a21","(Pending)","Transfer","(Pending)","2024-09-30 08:30:08","0x5bdb88a848c59b5f83e097220441cf9a1049f008","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0xe522b04348cc2ddd041fb825123e2475f59c81fc489ff887b42fc5211d369ef9","(Pending)","Transfer","(Pending)","2024-09-30 08:30:04","0x26352d20e6a05e04a1ecc75d4a43ae9989272621","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0xcd61b4f494ad43731ede72ef18ce1ce6b8a7bb1e1f214284e9e5153c53f1eb1f","(Pending)","Transfer","(Pending)","2024-09-30 08:30:04","0xbb020386707344bf74d31c75656f44c0020ec1f9","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0x51607d0f46b1cff24c68f1c30fd554f52fe8a23eaf6520ec721ce5e2fa9cf33b","(Pending)","Transfer","(Pending)","2024-09-30 08:30:04","0x93895e8dba3fc06e8e454a42f2294fc6b73583f9","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
"0x34838cb292da1930c51ea78fe4f308ce43cfe16b43ad51fe227a954189faac77","(Pending)","Transfer","(Pending)","2024-09-30 08:30:04","0x0a8393c939ca91ffaae9924e3850c34fffd47716","","0xdAC17F958D2ee523a2206206994597C13D831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","(Pending)"
