Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x00892ebfe62675a7e62ee99e56c64d5ff6f79ee833e7d3a09e2f817996075e04","Success","Remove Liquidity ETH With Permit","15535045","2022-09-14 21:04:35","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D","Uniswap V2: Router 2","590,955,435,153.049779364468231837","$0.00",""
"0xe4f713d4cefd523c683e12dabd816148d94f6621be03e425d629075ec595df06","Success","Swap Tokens For Exact ETH","15534999","2022-09-14 20:55:17","0x90793926BEb1f91F36829C19b4d0D0d83B228f07","","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","961,494,192.893298958890545611","$0.00",""
"0xbaec369c1d9dd7a42a7d11b891fc38f4dd3236a616954c70bd8c6785543f7e54","Success","Swap Tokens For Exact ETH","15534998","2022-09-14 20:54:46","0xF708B242051D1223aEE854879d28cc9709E7123f","","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","512,340,235.846770331572372826","$0.00",""
"0x6bfa2ca12832c82ed15f07e112e444a9aaa7267c04029164aefd508ff57b23dc","Success","0x441e1c04","15534989","2022-09-14 20:51:46","0x00000000002d383933aa1609F11d0AFA4D5Ea90A","MEV Bot: 0x000...90A","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","15,344,392,942.243222250039414154","$0.00",""
"0xc1e3e79cd6f6f97e0e830537ba095c6a1e1d780c610e893ce9bddf38a9359dff","Success","0x0000c09a","15534989","2022-09-14 20:51:46","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x1082127211Bda2F0ed1a3d50a1aB5D0D5895957B","","11,824,660,539.48667421363003977","$0.00",""
"0x0704690bbadbc3af0e41d3e89da474d70d3ad6ef8e8e3c227f762de5545d7c2e","Success","Delegate","15534989","2022-09-14 20:51:46","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x00000000002d383933aa1609F11d0AFA4D5Ea90A","MEV Bot: 0x000...90A","15,344,392,942.243222250039414155","$0.00",""
"0xf950fe7c10cdf5ddac57f1078e7df5116a716c9752a40b7a8a421d974eef451b","Success","Swap ETH For Exact Tokens","15534979","2022-09-14 20:47:46","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x828103B231B39ffFCe028562412B3c04A4640e64","","3,027,500,000","$0.00",""
"0x59393fe6f9b96500c4ab71df0945195139bd34ea6d9448b3a4b809cb92b7e520","Success","Swap Exact ETH For Tokens","15534973","2022-09-14 20:45:56","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x091933ee1088CdF5DaaCe8BAEC0997a4e93F0DD6","","1,716,609,624.660419895648372003","$0.00",""
"0xf3cf305fab7a9d4e59e4ab1de01bd364bb03baa633802a1972ae9b1bb0dbabc6","Success","Swap Exact ETH For Tokens","15534962","2022-09-14 20:43:21","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0x7AE92148E79D60a0749fd6De374C8e81DfDdf792","","4,249,849,972.623613434426869847","$0.00",""
"0x4ec7cf946a3fda5ce81228133b7a463856ee0a08125b60ef683cbbf265aba4c0","Success","Swap Exact ETH For Tokens","15534961","2022-09-14 20:43:20","0xacD83834E66C41D958a1EaB025337798131ae1F8","Uniswap V2: ETH 2.0 11","0xeb2B00042cE4522CE2D1AACee6f312d26C4Eb9d6","","3,511,651,000.90976217693141365","$0.00",""
