Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x8480dfc1478a952657e52c66268a72bf9398225a1e1f28d202f60d67e21a3ae7","Success","Transfer","15306872","2022-08-09 08:15:03","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0xcd631fe62e10d61171a77fd154a29668b0b58a6f","","48.622476248 ETH","$131,433.71","0.00023418"
"0x7a58cf76ce9919bc5df57775f035ab005147b58bf99663e34a231790c175f4c3","Success","Transfer","15306795","2022-08-09 07:58:11","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0xcd631fe62e10d61171a77fd154a29668b0b58a6f","","0.5 ETH","$1,351.57","0.00025819"
"0x98581f6b43f9de609ff16edf0a47fee3ec0a9fb62d12b0f0eb4ccfb695b1831d","Success","Transfer","15306706","2022-08-09 07:37:12","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0x001b90e8d3d6d265f128cf117578a50d6a672dc2","","1 ETH","$2,703.15","0.00038697"
"0x950153cf8c43772e9aeefa7cdb061007cd908adcac4a44b0fcb295bc99bb450c","Success","Unoswap","15306698","2022-08-09 07:34:25","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0x1111111254fb6c44bac0bed2854e76f90643097d","Aggregation Router V4","0 ETH","$0.00","0.00126366"
"0xe7917a0e85aa30048a2b1b480460f9fe57e6c8b841797bbf0060bc0af16a4adb","Success","Approve","15306689","2022-08-09 07:31:31","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0x6b3595068778dd592e39a122f4f5a5cf09c90fe2","SushiSwap: SUSHI Token","0 ETH","$0.00","0.00062061"
"0x6bba54106448fdc9d09cc8892e3931c8c09e69857e04112a49754f0efd64ffd7","Success","Zap Out With Permit","13782548","2021-12-11 07:40:02","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0x3098cfaaba3795ab98dc2d5066ec4d2584ae7c68","Zapper.Fi: Sushiswap Zap Out","0 ETH","$0.00","0.02773059"
"0x75e5df756f56baf29a1b59041f910ec2d6c6ffda394bb6e29a7ffc1e5e41bdd1","Success","Withdraw","13782541","2021-12-11 07:38:08","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0xc2edad668740f1aa35e4d8f227fb8e17dca888cd","SushiSwap: MasterChef LP Staking Pool","0 ETH","$0.00","0.00824677"
"0xa464cd6c0ad7ec7eda5490e88ec94f32e5d425ba7bcd0ba6944be072256d1b80","Success","Transfer","13694993","2021-11-27 08:20:47","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0xde30da39c46104798bb5aa3fe8b9e0e1f348163f","Gitcoin: GTC Token","0 ETH","$0.00","0.00365116"
"0x88fb3551f5d5d04fc8dfc97c1b2143d812be17bdc61c4052c25a37a2db96688e","Success","Transfer","13694947","2021-11-27 08:10:42","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0xde30da39c46104798bb5aa3fe8b9e0e1f348163f","Gitcoin: GTC Token","0 ETH","$0.00","0.00668903"
"0x2e3ac18f8bde8126481794bd082e4a1344aa9a0ba738788d1fe887190f8cb910","Success","Withdraw","12382629","2021-05-06 19:28:09","0x7d3bb46c78b0c4949639ce34896bfd875b97ad08","@ETbitch","0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc","Tornado.Cash: 0.1 ETH","0 ETH","$0.00","0.0320491"
